id1	id2	color	community
OG1002	OG1002	#4682B4	1
OG1004	OG1004	#8E46B4	2
OG1008	OG1008	#4682B4	1
OG1009	OG1009	grey	25
OG1028	OG1028	#4682B4	1
OG1037	OG1037	#4682B4	1
OG1039	OG1039	#4682B4	1
OG1054	OG1054	#8E46B4	2
OG1061	OG1061	#4682B4	1
OG1064	OG1064	#8E46B4	2
OG1066	OG1066	#4682B4	1
OG1099	OG1099	#8E46B4	2
OG1149	OG1149	#8E46B4	2
OG1170	OG1170	#B44656	3
OG1173	OG1173	grey	26
OG1223	OG1223	grey	27
OG1248	OG1248	#B44656	3
OG1259	OG1259	#4682B4	1
OG1290	OG1290	grey	28
OG1294	OG1294	#4682B4	1
OG1300	OG1300	#4682B4	1
OG1314	OG1314	#8E46B4	2
OG1320	OG1320	grey	17
OG1323	OG1323	grey	29
OG1330	OG1330	#4682B4	1
OG1335	OG1335	#4682B4	1
OG1340	OG1340	#8E46B4	2
OG1347	OG1347	#4682B4	1
OG1350	OG1350	#4682B4	1
OG1351	OG1351	#8E46B4	2
OG1353	OG1353	#8E46B4	2
OG1354	OG1354	#4682B4	1
OG1358	OG1358	#8E46B4	2
OG1361	OG1361	#B44656	3
OG1365	OG1365	#4682B4	1
OG1374	OG1374	grey	30
OG1394	OG1394	#4682B4	1
OG1398	OG1398	grey	31
OG1414	OG1414	grey	32
OG1415	OG1415	#8E46B4	2
OG1422	OG1422	#4682B4	1
OG1424	OG1424	#4682B4	1
OG1427	OG1427	#4682B4	1
OG1429	OG1429	grey	33
OG1431	OG1431	#4682B4	1
OG1432	OG1432	grey	34
OG1434	OG1434	#4682B4	1
OG1435	OG1435	#4682B4	1
OG1438	OG1438	#8E46B4	2
OG1442	OG1442	#4682B4	1
OG1446	OG1446	grey	35
OG1448	OG1448	grey	36
OG1451	OG1451	#4682B4	1
OG1453	OG1453	#4682B4	1
OG1454	OG1454	grey	37
OG1459	OG1459	#4682B4	1
OG1463	OG1463	#4682B4	1
OG1465	OG1465	#4682B4	1
OG1466	OG1466	#8E46B4	2
OG1468	OG1468	#8E46B4	2
OG1470	OG1470	grey	38
