Orthologous_group	Scerevisiae	Calbicans
OG1002	YNL209W	C2_01120W_A
OG1004	YKR086W	C3_04230W_A
OG1008	YER166W	C3_03250W_A
OG1009	YJL138C	C1_01350C_A
OG1028	YDL140C	CR_10680W_A
OG1037	YDR258C	C2_03390C_A
OG1039	YLR304C	CR_08210C_A
OG1054	YMR205C	C5_04810W_A
OG1061	YHR019C	C7_03670W_A
OG1064	YNL172W	C1_00590W_A
OG1066	YLR276C	C6_01890C_A
OG1099	YDR448W	C1_10860C_A
OG1149	YOL027C	C1_01320W_A
OG1170	YNL117W	C1_09690W_A
OG1173	YEL061C	CR_06540W_A
OG1223	YPL090C	C4_01270W_A
OG1248	YDR457W	C2_03180C_A
OG1259	YBR155W	C1_00530C_A
OG1290	YPL081W	C2_03820C_A
OG1294	YFR024C-A	C2_04850C_A
OG1300	YDR055W	C1_03190C_A
OG1314	YMR261C	C2_10690W_A
OG1320	YBR084C-A	C3_04500C_A
OG1323	YBL072C	C2_05610C_A
OG1330	YJR091C	C5_02510C_A
OG1335	YDR341C	C1_01530C_A
OG1340	YOL075C	C1_01920W_A
OG1347	YLR430W	C3_04760C_A
OG1350	YDR436W	CR_06420W_A
OG1351	YLR106C	C4_00970C_A
OG1353	YNL243W	C7_03810W_A
OG1354	YHR216W	C2_06390C_A
OG1358	YGL006W	C3_01250W_A
OG1361	YLR048W	
OG1365	YHR106W	C5_02710W_A
OG1374	YDR453C	C3_06330W_A
OG1394	YDL036C	C5_01940W_A
OG1398	YLR422W	C2_04040C_A
OG1414	YDL042C	C1_09050W_B
OG1415	YGR056W	C1_02750C_A
OG1422	YGL009C	
OG1424	YCR012W	C6_00750C_A
OG1427	YHR099W	
OG1429	YBL015W	C5_02000C_A
OG1431	YNL271C	C1_12960C_A
OG1432	YKL060C	C4_01750C_A
OG1434	YGL012W	C3_00760W_A
OG1435	YOR365C	CR_07100W_A
OG1438	YLL040C	C4_06060W_A
OG1442	YLR083C	C4_02550C_A
OG1446	YDL055C	C3_07950C_A
OG1448	YIL041W	C4_05550C_A
OG1451	YIR034C	C4_05320W_A
OG1453	YOL004W	C1_00930C_A
OG1454	YOR096W	C3_01490W_A
OG1459	YOR310C	C6_00370C_A
OG1463	YKL182W	C5_00190C_A
OG1465	YOL112W	C5_00760W_A
OG1466	YOR093C	
OG1468	YNL130C	
OG1470	YGL055W	C1_08360C_A
OG1471	YDL052C	C3_02600C_A
OG1472	YIL048W	C1_04630C_A
OG1473	YGR010W	CR_00350W_A
OG1476	YDL153C	
OG1477	YNL321W	CR_10800C_A
OG1479	YJR143C	C2_06100W_A
OG1480	YJL008C	C1_00110W_A
OG1481	YMR242C	C4_01520C_A
OG1484	YNL189W	C5_00150C_A
OG1485	YLR293C	C2_06310C_A
OG1486	YGR159C	C1_00160C_A
OG1487	YJL026W	C2_03010C_A
OG1488	YGR256W	C1_13860C_A
OG1489	YIL046W	C1_01130W_A
OG1491	YIL083C	C3_05760W_A
OG1495	YFR019W	C2_01990C_A
OG1499	YBR080C	C1_13580W_A
OG1500	YJR103W	C5_04570C_A
OG1501	YPL160W	CR_01690C_A
OG1504	YJR138W	C1_02610W_A
OG1505	YDL126C	C1_10790W_A
OG1507	YNL036W	C3_01300C_A
OG1510	YOR222W	CR_05490W_A
OG1511	YIL129C	C3_01530C_A
OG1512	YGL245W	
OG1513	YLR203C	CR_10010C_A
OG1514	YJR123W	C5_03070W_A
OG1517	YGL167C	C7_00320C_A
OG1518	YDL141W	CR_10620C_A
OG1519	YPL189W	C1_13540W_A
OG1520	YLR086W	C5_00300C_A
OG1521	YDL168W	CR_10250C_A
OG1524	YBR162C	C3_01550C_B
OG1525	YER069W	C1_09290C_A
OG1526	YDR006C	CR_06000W_A
OG1532	YKL039W	C2_01340W_A
OG1533	YBL099W	C1_04610W_A
OG1534	YNL088W	C4_06600W_A
OG1535	YAL016W	C3_06910C_A
OG1536	YER105C	C1_05660C_A
OG1537	YPR035W	
OG1538	YHR165C	
OG1540	YLR389C	C6_02860W_A
OG1541	YGR092W	C2_06670C_A
OG1542	YMR237W	C5_03820C_A
OG1543	YLL031C	C2_03920C_B
OG1544	YMR186W	C7_02030W_A
OG1545	YGL206C	C6_02120W_A
OG1546	YGL195W	C2_10550C_A
OG1547	YKR079C	C3_00420W_A
OG1548	YDR456W	C6_00570C_A
OG1549	YHR098C	C2_03410W_A
OG1550	YBR121C	C1_05290W_A
OG1551	YDL215C	C2_07900W_A
OG1552	YJL187C	C1_10010C_A
OG1554	YOR217W	
OG1556	YKL181W	C5_00260W_A
OG1557	YGR125W	CR_01320C_A
OG1558	YBR287W	CR_07160C_A
OG1559	YMR004W	C7_00790W_A
OG1560	YBR198C	CR_04450C_A
OG1561	YLL013C	C4_05370W_A
OG1562	YOR322C	
OG1563	YJL155C	CR_08550W_A
OG1564	YIL099W	C3_01320C_A
OG1565	YHR072W	C2_02460W_A
OG1566	YKL150W	C6_02040W_A
OG1568	YPR010C	C7_00570W_A
OG1569	YLR355C	C6_00870C_A
OG1570	YKR077W	CR_02130W_A
OG1571	YKL073W	C2_02760W_A
OG1575	YDL109C	C5_05000C_A
OG1578	YMR239C	C4_04830W_A
OG1579	YPL154C	
OG1580	YER154W	C7_01600W_A
OG1581	YLR345W	C1_02320C_A
OG1582	YPR072W	C1_08300W_A
OG1583	YPR141C	C2_09370C_A
OG1584	YBR235W	C3_06710W_A
OG1585	YIL125W	C3_00880W_A
OG1586	YOR335C	
OG1587	YBL004W	C3_01200W_B
OG1589	YDL171C	C1_06550W_A
OG1591	YGR086C	C2_06730W_A
OG1593	YHR108W	C1_03130C_A
OG1595	YHR037W	C5_04880C_A
OG1596	YMR015C	C7_02840C_A
OG1597	YJR137C	C2_06170C_A
OG1598	YGL173C	C1_13420C_A
OG1600	YBR260C	C1_06020W_A
OG1602	YPL019C	CR_03610C_A
OG1603	YCR052W	C5_02270W_A
OG1605	YMR216C	C1_06090C_A
OG1606	YOL091W	C4_07120C_A
OG1607	YER006W	C4_06210C_A
OG1608	YLR163C	C1_03300C_A
OG1609	YKR002W	C5_01745W_B
OG1611	YDR208W	C3_01160W_A
OG1613	YCR093W	C6_04270W_A
OG1614	YMR229C	
OG1615	YDR297W	C2_02860W_A
OG1616	YBR136W	C5_04060C_A
OG1617	YJL088W	C6_03230W_A
OG1618	YPR024W	C4_05670W_A
OG1619	YMR241W	C6_00600C_A
OG1620	YCL054W	C6_04160C_A
OG1621	YDR127W	C4_00890W_A
OG1622	YML035C	C2_03360W_A
OG1623	YLR291C	C2_03990W_A
OG1624	YBR229C	C5_00220W_A
OG1625	YKR031C	C1_11590W_A
OG1626	YDL014W	C4_06720W_A
OG1627	YBL007C	C2_01640W_A
OG1629	YFL018C	CR_07400C_A
OG1632	YNL132W	CR_04240C_A
OG1633	YDR012W	C1_14110C_A
OG1634	YDR074W	C1_03380W_A
OG1635	YGR132C	C3_03590W_A
OG1636	YKL205W	C7_04200C_A
OG1638	YNL061W	
OG1639	YNL055C	C1_04100C_A
OG1641	YLR336C	CR_03650W_A
OG1642	YKL210W	C3_06500W_A
OG1644	YDR346C	C1_00400W_A
OG1646	YNL247W	
OG1648	YJR090C	
OG1649	YLR024C	C4_02960W_A
OG1650	YLR027C	CR_07620W_A
OG1651	YLR259C	CR_06490C_A
OG1652	YDL240W	CR_00440C_A
OG1653	YOL006C	C6_00950C_A
OG1655	YGR116W	C7_04300W_A
OG1656	YDL185W	C3_01630W_A
OG1657	YNL275W	C4_06370C_A
OG1658	YMR116C	C7_01250W_A
OG1659	YEL011W	C6_03340C_A
OG1660	YPL184C	C6_02690C_B
OG1661	YOR063W	C2_09430W_A
OG1662	YHR020W	C7_03660C_A
OG1663	YBR097W	C6_01190C_A
OG1664	YOL098C	C7_03610C_A
OG1665	YER052C	C4_05540W_A
OG1666	YDR141C	C5_02050W_A
OG1667	YGR043C	CR_03720W_A
OG1668	YAL019W	CR_07600W_A
OG1669	YOL139C	CR_10490W_A
OG1671	YKL035W	CR_04660C_A
OG1673	YBR110W	
OG1674	YMR271C	CR_01650W_A
OG1675	YPR145W	C2_09060C_A
OG1676	YBL047C	
OG1677	YJL123C	C7_03370C_A
OG1678	YGL131C	C4_05740C_A
OG1679	YLR305C	CR_07090W_A
OG1680	YER136W	C1_14440C_A
OG1681	YER125W	C2_08500W_A
OG1683	YDR062W	C1_13900C_A
OG1684	YPL091W	
OG1685	YLR438W	
OG1686	YPL212C	C6_02350C_A
OG1687	YMR165C	C2_01550W_A
OG1689	YGR121C	C3_02310W_A
OG1690	YFR028C	
OG1691	YER043C	
OG1692	YIL133C	C1_00180W_A
OG1693	YHR066W	CR_09730C_A
OG1695	YBR029C	C5_04100W_A
OG1696	YOR142W	C1_01690C_A
OG1697	YLR172C	C5_03640W_A
OG1699	YLR272C	C2_07470W_A
OG1700	YNL250W	
OG1701	YGL246C	C1_06800W_A
OG1703	YER164W	C1_03360W_A
OG1704	YNR008W	C1_00870W_A
OG1706	YGR264C	C5_04700C_A
OG1707	YAL042W	C5_00830C_A
OG1708	YOR360C	C1_02840W_A
OG1709	YLL034C	C5_02120C_A
OG1710	YNR016C	CR_00640W_A
OG1711	YOR014W	C2_06420C_A
OG1712	YGR090W	C2_02450C_A
OG1713	YDR390C	C1_08020W_A
OG1714	YBR115C	C1_02820W_A
OG1715	YFL008W	CR_03680C_A
OG1717	YDL195W	C1_06930W_A
OG1718	YFR037C	C1_14240W_A
OG1719	YNL218W	
OG1720	YDR404C	C1_01570C_A
OG1721	YDR190C	
OG1722	YGR103W	C2_09320C_A
OG1723	YLR384C	C4_05260W_A
OG1724	YGL026C	C4_06110C_A
OG1725	YGL137W	C6_02260C_A
OG1726	YMR125W	C1_08420W_A
OG1727	YPR086W	C1_03560C_A
OG1728	YPL220W	C6_02240C_A
OG1729	YJR052W	C2_01840C_A
OG1730	YML008C	C3_02150C_A
OG1732	YFR048W	C7_00610C_A
OG1733	YGL238W	C1_07690C_A
OG1734	YMR162C	C4_03110W_B
OG1735	YOR069W	C4_06650W_A
OG1736	YNL021W	
OG1737	YNL262W	
OG1739	YEL013W	C4_05150W_A
OG1741	YHR002W	C2_00150W_A
OG1742	YDR037W	C3_07410C_A
OG1743	YKL212W	C1_09990W_A
OG1744	YDR300C	CR_10580W_A
OG1745	YGR047C	C3_02830W_A
OG1746	C4_02710C_A	
OG1748	YLR382C	
OG1749	YDL160C	C1_07070C_A
OG1750	YMR308C	C1_08110W_A
OG1751	YHR039C	C2_07600C_A
OG1752	YLR397C	CR_08590W_A
OG1753	YBR126C	CR_05720W_A
OG1756	YNL112W	CR_02530W_A
OG1757	YHR148W	CR_00460C_A
OG1758	YMR272C	C4_04590W_A
OG1759	YJL060W	C2_02640C_A
OG1761	YMR304W	C2_10050W_A
OG1762	YDL058W	
OG1763	YFL009W	
OG1764	YOR095C	C3_01480C_A
OG1765	YNL238W	C1_08990C_A
OG1766	YDL145C	C3_01720C_A
OG1767	YGL040C	C2_03300W_A
OG1769	YER068W	CR_03420C_A
OG1770	YAL035W	C1_08090C_A
OG1771	YIL078W	C5_00110C_A
OG1772	YOR211C	C4_03020W_A
OG1774	YGR061C	CR_04740C_A
OG1775	YDL017W	C2_05320W_A
OG1776	YER025W	C5_02170C_A
OG1777	YLR410W	C5_00180W_A
OG1778	YDR375C	CR_05970C_A
OG1779	YMR217W	C1_09490C_A
OG1780	YDR283C	C7_01330C_A
OG1781	YER059W	C1_06850W_A
